Total time; FPS; Render Mode; Instances; Triangle Count
1; 9; DX11; 100; 1200
2; 20; DX11; 100; 1200
3; 20; DX11; 100; 1200
4; 20; DX11; 100; 1200
5; 20; DX11; 100; 1200
6; 20; DX11; 100; 1200
7; 20; DX11; 100; 1200
8; 20; DX11; 100; 1200
9; 20; DX11; 100; 1200
10; 20; DX11; 100; 1200
11; 20; DX11; 200; 2400
12; 12; DX11; 200; 2400
13; 12; DX11; 200; 2400
14; 12; DX11; 200; 2400
15; 13; DX11; 200; 2400
16; 14; DX11; 200; 2400
17; 14; DX11; 200; 2400
18; 14; DX11; 200; 2400
19; 14; DX11; 200; 2400
20; 13; DX11; 200; 2400
21; 14; DX11; 200; 2400
22; 14; DX11; 200; 2400
23; 14; DX11; 200; 2400
24; 14; DX11; 200; 2400
25; 13; DX11; 200; 2400
26; 14; DX11; 200; 2400
27; 14; DX11; 200; 2400
28; 13; DX11; 200; 2400
29; 14; DX11; 200; 2400
30; 14; DX11; 200; 2400
31; 14; DX11; 200; 2400
32; 14; DX11; 200; 2400
33; 13; DX11; 200; 2400
34; 14; DX11; 200; 2400
35; 14; DX11; 200; 2400
36; 14; DX11; 200; 2400
